# pubchem CID, SMILES
4054, CC12CC3CC(C1)(CC(C3)(C2)N)C
101379195, C[N+](C)(C)C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C
303798,    C1C2CC3CC1CC(C2)(C3)NCCN
213512,    C1C2CC3(CC1CC(C2)(C3)N)N
13235,    C1C2CC3CC1CC(C2)(C3)C(=O)O
3010127, C[N+](C)(C)C12CC3CC(C1)CC(C3)C2
2130,    C1C2CC3CC1CC(C2)(C3)N
3848257,    C1C2CC3CC1CC(C2)(C3)[N+]4=CC=CC=C4
681,     C1=CC(=C(C=C1CCN)O)O
7243,     C1=CC=C(C(=C1)N)N
7935, C1=CC(=CC(=C1)N)N
77317, C1=CN=CC=C1CN
7814,     C1=CC(=CC=C1N)N
7813, CC1=CC=C(C=C1)N 
68315,     C1=CC(=CC=C1CN)CN
143036, C\#CCCCC(=O)O
8497, C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O
12087, C1=CC(=CC=C1C\#N)C(=O)O
12598766, C1C2CC3CC(C2)(CC1C3Br)C(=O)O
84774, CCCCCC[N+](C)(C)
14108, C[N+](C)(C)CCC1=CC=CC=C1
243,C1=CC=C(C=C1)C(=O)O
7470, CC1=CC=C(C=C1)C(=O)O
12086, CCC1=CC=C(C=C1)C(=O)O
6318, C1=CC(=CC=C1C(=O)O)Cl
447, C1=CC(=CC(=C1)Cl)C(=O)O
7413, C1CCC(CC1)C(=O)O
20330, [C@@H]1(CC[C@@H](CC1)C(=O)O[H])C
241,  c1ccccc1
1140, Cc1ccccc1
7500,  CCc1ccccc1
7668, CCCc1ccccc1
7705, CCCCc1ccccc1
14109, CCCCCCc1ccccc1
7809,  Cc1ccc(cc1)C
9223,    c1ccc2c(c1)cco2
9224, c1cncc2c1ccs2
996, c1ccc(cc1)O
289, c1ccc(c(c1)O)O
66755, CCOc1ccccc1O
8785, CC(=O)OCc1ccccc1
57452536,   c1c[nH]c2c1CCCC2
76372, c1ccccc1NCC\#N
7933, c1cc(cc(c1)Cl)O
460, COc1ccccc1O
7502, C=Cc1ccncc1
